,published_year,type,num_objects,num_dois,num_non_dois,objects_has_abstract,objects_has_affiliations,objects_has_affiliations_countrycode,objects_has_affiliations_grid,objects_has_affiliations_sourceid,objects_has_affiliations_string,objects_has_authors,objects_has_authors_sequence,objects_has_authors_sourceid,objects_has_authors_string,objects_has_citations,objects_has_fields,objects_has_fields_mag,objects_has_references,objects_has_venue,objects_has_venue_issn,objects_has_venue_sourceid,objects_has_venue_string,dois_has_abstract,dois_has_affiliations,dois_has_affiliations_countrycode,dois_has_affiliations_grid,dois_has_affiliations_sourceid,dois_has_affiliations_string,dois_has_authors,dois_has_authors_sequence,dois_has_authors_sourceid,dois_has_authors_string,dois_has_citations,dois_has_fields,dois_has_fields_mag,dois_has_references,dois_has_venue,dois_has_venue_issn,dois_has_venue_sourceid,dois_has_venue_string,non_dois_has_abstract,non_dois_has_affiliations,non_dois_has_affiliations_countrycode,non_dois_has_affiliations_grid,non_dois_has_affiliations_sourceid,non_dois_has_affiliations_string,non_dois_has_authors,non_dois_has_authors_sequence,non_dois_has_authors_sourceid,non_dois_has_authors_string,non_dois_has_citations,non_dois_has_fields,non_dois_has_fields_mag,non_dois_has_references,non_dois_has_venue,non_dois_has_venue_issn,non_dois_has_venue_sourceid,non_dois_has_venue_string
16,2021.0,Thesis,48308,16444,31864,19268,1205,307,258,310,1205,48308,48308,48308,48308,487,37830,37830,5807,0,0,0,0,4413,88,53,48,53,88,16444,16444,16444,16444,180,13324,13324,758,0,0,0,0,14855,1117,254,210,257,1117,31864,31864,31864,31864,307,24506,24506,5049,0,0,0,0
17,2020.0,,3771094,1923818,1847276,1548494,1258056,763919,725293,773073,1258056,3771094,3771094,3771094,3771094,318000,2464480,2464480,688282,0,0,0,0,928704,966631,638164,606904,644410,966631,1923818,1923818,1923818,1923818,279048,1422582,1422582,632936,0,0,0,0,619790,291425,125755,118389,128663,291425,1847276,1847276,1847276,1847276,38952,1041898,1041898,55346,0,0,0,0
18,2020.0,Book,62366,17338,45028,13558,6965,4463,4283,4478,6965,62366,62366,62366,62366,11591,40216,40216,2110,0,0,0,0,3003,1363,839,805,842,1363,17338,17338,17338,17338,3304,6914,6914,398,0,0,0,0,10555,5602,3624,3478,3636,5602,45028,45028,45028,45028,8287,33302,33302,1712,0,0,0,0
19,2020.0,BookChapter,251372,238261,13111,25978,29900,26317,25177,26438,29900,251372,251372,251372,251372,19402,143279,143279,50376,0,0,0,0,22616,29548,26126,24989,26247,29548,238261,238261,238261,238261,18994,135684,135684,49964,0,0,0,0,3362,352,191,188,191,352,13111,13111,13111,13111,408,7595,7595,412,0,0,0,0
20,2020.0,Conference,220283,203365,16918,197465,189961,192195,185925,193688,189961,220283,220283,220283,220283,85337,215157,215157,176703,0,0,0,0,187054,184419,177810,171845,179220,184419,203365,203365,203365,203365,76831,198970,198970,170523,0,0,0,0,10411,5542,14385,14080,14468,5542,16918,16918,16918,16918,8506,16187,16187,6180,0,0,0,0
21,2020.0,Dataset,6131,4629,1502,2366,34,32,32,32,34,6131,6131,6131,6131,423,5391,5391,11,0,0,0,0,1778,32,30,30,30,32,4629,4629,4629,4629,381,4266,4266,10,0,0,0,0,588,2,2,2,2,2,1502,1502,1502,1502,42,1125,1125,1,0,0,0,0
22,2020.0,Journal,3420773,3200420,220353,2531541,2687103,2436046,2386364,2447845,2687103,3420773,3420773,3420773,3420773,1893794,3253057,3253057,2362318,3420773,3172695,3420773,3420773,2431430,2623419,2391745,2343895,2403122,2623419,3200420,3200420,3200420,3200420,1873261,3071201,3071201,2343282,3200420,2991434,3200420,3200420,100111,63684,44301,42469,44723,63684,220353,220353,220353,220353,20533,181856,181856,19036,220353,181261,220353,220353
23,2020.0,Patent,4516500,31,4516469,4345233,262159,141128,125744,142976,262159,4516500,4516500,4516500,4516500,212944,4281939,4281939,945139,35,12,35,35,26,23,21,20,21,23,31,31,31,31,19,31,31,23,15,9,15,15,4345207,262136,141107,125724,142955,262136,4516469,4516469,4516469,4516469,212925,4281908,4281908,945116,20,3,20,20
24,2020.0,Repository,333460,144017,189443,319331,217212,207355,202457,208192,217212,333460,333460,333460,333460,115152,326407,326407,216886,304164,4012,304164,304164,138654,124124,117689,115098,118031,124124,144017,144017,144017,144017,55083,142445,142445,100635,135660,1660,135660,135660,180677,93088,89666,87359,90161,93088,189443,189443,189443,189443,60069,183962,183962,116251,168504,2352,168504,168504
25,2020.0,Thesis,261290,22096,239194,123361,5475,931,771,950,5475,261290,261290,261290,261290,4169,181359,181359,13859,0,0,0,0,7922,200,109,104,110,200,22096,22096,22096,22096,1015,16822,16822,1931,0,0,0,0,115439,5275,822,667,840,5275,239194,239194,239194,239194,3154,164537,164537,11928,0,0,0,0
26,2019.0,,3875017,1732388,2142629,1548461,1204461,729708,692435,737491,1204461,3875017,3875017,3875017,3875017,421139,2427321,2427321,610611,0,0,0,0,846997,859108,570662,542759,575706,859108,1732388,1732388,1732388,1732388,352724,1262718,1262718,550997,0,0,0,0,701464,345353,159046,149676,161785,345353,2142629,2142629,2142629,2142629,68415,1164603,1164603,59614,0,0,0,0
27,2019.0,Book,72331,14212,58119,19650,8079,4889,4649,4899,8079,72331,72331,72331,72331,19525,45022,45022,2371,0,0,0,0,2698,1387,855,812,856,1387,14212,14212,14212,14212,4339,6354,6354,412,0,0,0,0,16952,6692,4034,3837,4043,6692,58119,58119,58119,58119,15186,38668,38668,1959,0,0,0,0
28,2019.0,BookChapter,237607,222893,14714,26274,26630,23193,22320,23326,26630,237607,237607,237607,237607,27821,143450,143450,42932,0,0,0,0,21910,26024,22902,22039,23034,26024,222893,222893,222893,222893,26894,135663,135663,42240,0,0,0,0,4364,606,291,281,292,606,14714,14714,14714,14714,927,7787,7787,692,0,0,0,0
29,2019.0,Conference,256232,239847,16385,233824,226961,225640,218178,227443,226961,256232,256232,256232,256232,138540,251014,251014,207486,0,0,0,0,224037,220094,212395,205249,214022,220094,239847,239847,239847,239847,130357,236014,236014,201971,0,0,0,0,9787,6867,13245,12929,13421,6867,16385,16385,16385,16385,8183,15000,15000,5515,0,0,0,0
30,2019.0,Dataset,9958,8015,1943,2573,186,177,176,177,186,9958,9958,9958,9958,642,8875,8875,9,0,0,0,0,1930,184,175,174,175,184,8015,8015,8015,8015,585,7420,7420,8,0,0,0,0,643,2,2,2,2,2,1943,1943,1943,1943,57,1455,1455,1,0,0,0,0
31,2019.0,Journal,3193890,2950483,243407,2309903,2443103,2192892,2148988,2203961,2443103,3193890,3193890,3193890,3193890,2007662,3024763,3024763,2092535,3193890,2942730,3193890,3193890,2207292,2367229,2139691,2098086,2150254,2367229,2950483,2950483,2950483,2950483,1971964,2821063,2821063,2071628,2950483,2751687,2950483,2950483,102611,75874,53201,50902,53707,75874,243407,243407,243407,243407,35698,203700,203700,20907,243407,191043,243407,243407
32,2019.0,Patent,3693729,60,3693669,3552342,272009,145256,129490,146888,272009,3693729,3693729,3693729,3693729,680234,3459133,3459133,1207634,64,29,64,64,54,42,32,31,32,42,60,60,60,60,39,57,57,50,36,26,36,36,3552288,271967,145224,129459,146856,271967,3693669,3693669,3693669,3693669,680195,3459076,3459076,1207584,28,3,28,28
33,2019.0,Repository,273871,109039,164832,260253,174521,166014,161750,166707,174521,273871,273871,273871,273871,99377,266504,266504,166347,247184,3679,247184,247184,105208,92758,88126,85868,88381,92758,109039,109039,109039,109039,42190,107684,107684,73515,103467,888,103467,103467,155045,81763,77888,75882,78326,81763,164832,164832,164832,164832,57187,158820,158820,92832,143717,2791,143717,143717
34,2019.0,Thesis,441114,23189,417925,235579,8515,1360,1167,1392,8515,441114,441114,441114,441114,11387,237166,237166,18278,0,0,0,0,8424,222,141,136,142,222,23189,23189,23189,23189,1758,17364,17364,2197,0,0,0,0,227155,8293,1219,1031,1250,8293,417925,417925,417925,417925,9629,219802,219802,16081,0,0,0,0
35,2018.0,,3805613,1518505,2287108,1498771,1112601,666770,633730,673854,1112601,3805613,3805613,3805613,3805613,459543,2324706,2324706,532078,0,0,0,0,748006,737395,491097,468054,495739,737395,1518505,1518505,1518505,1518505,364026,1088698,1088698,469146,0,0,0,0,750765,375206,175673,165676,178115,375206,2287108,2287108,2287108,2287108,95517,1236008,1236008,62932,0,0,0,0
36,2018.0,Book,107483,32827,74656,22868,10624,6848,6591,6873,10624,107483,107483,107483,107483,32507,72496,72496,3369,0,0,0,0,3281,3108,2229,2145,2237,3108,32827,32827,32827,32827,9569,21802,21802,952,0,0,0,0,19587,7516,4619,4446,4636,7516,74656,74656,74656,74656,22938,50694,50694,2417,0,0,0,0
37,2018.0,BookChapter,197905,178141,19764,28064,25845,22422,21696,22481,25845,197905,197905,197905,197905,29850,127343,127343,42728,0,0,0,0,22611,25049,22060,21342,22119,25049,178141,178141,178141,178141,28316,116475,116475,41965,0,0,0,0,5453,796,362,354,362,796,19764,19764,19764,19764,1534,10868,10868,763,0,0,0,0
38,2018.0,Conference,255383,235502,19881,229869,212818,222536,214934,224392,212818,255383,255383,255383,255383,156580,249695,249695,204550,0,0,0,0,219494,206301,206289,198963,207908,206301,235502,235502,235502,235502,145629,230919,230919,197455,0,0,0,0,10375,6517,16247,15971,16484,6517,19881,19881,19881,19881,10951,18776,18776,7095,0,0,0,0
39,2018.0,Dataset,22203,6267,15936,12724,46,42,41,42,46,8266,8266,8266,8266,1045,19704,19704,98,0,0,0,0,1969,44,41,40,41,44,6267,6267,6267,6267,395,5637,5637,16,0,0,0,0,10755,2,1,1,1,2,1999,1999,1999,1999,650,14067,14067,82,0,0,0,0
40,2018.0,Journal,3092874,2802192,290682,2201056,2305533,2049270,2006600,2060207,2305533,3092874,3092874,3092874,3092874,1986800,2911811,2911811,1939972,3092874,2831409,3092874,3092874,2078097,2213021,1984376,1944818,1994739,2213021,2802192,2802192,2802192,2802192,1935887,2669250,2669250,1913912,2802192,2603296,2802192,2802192,122959,92512,64894,61782,65468,92512,290682,290682,290682,290682,50913,242561,242561,26060,290682,228113,290682,290682
41,2018.0,Patent,3637773,92,3637681,3466452,236613,125732,112117,127242,236613,3637773,3637773,3637773,3637773,1054845,3377877,3377877,1280722,70,44,70,70,85,71,61,59,61,71,92,92,92,92,67,82,82,79,49,40,49,49,3466367,236542,125671,112058,127181,236542,3637681,3637681,3637681,3637681,1054778,3377795,3377795,1280643,21,4,21,21
42,2018.0,Repository,248946,95760,153186,236837,133621,128116,124874,128671,133621,248946,248946,248946,248946,91642,240906,240906,134981,221640,4756,221640,221640,90277,73121,69305,67861,69546,73121,95760,95760,95760,95760,38619,94467,94467,61895,87253,813,87253,87253,146560,60500,58811,57013,59125,60500,153186,153186,153186,153186,53023,146439,146439,73086,134387,3943,134387,134387
43,2018.0,Thesis,466041,21216,444825,252231,9461,1355,1178,1395,9461,466041,466041,466041,466041,17266,244530,244530,20637,0,0,0,0,6327,292,176,169,176,292,21216,21216,21216,21216,2299,15722,15722,1962,0,0,0,0,245904,9169,1179,1009,1219,9169,444825,444825,444825,444825,14967,228808,228808,18675,0,0,0,0
44,2017.0,,3979802,1296250,2683552,1482142,1014152,592019,562615,598239,1014152,3979802,3979802,3979802,3979802,467488,2335100,2335100,503541,0,0,0,0,652061,602488,401935,383061,405423,602488,1296250,1296250,1296250,1296250,339264,925225,925225,412278,0,0,0,0,830081,411664,190084,179554,192816,411664,2683552,2683552,2683552,2683552,128224,1409875,1409875,91263,0,0,0,0
