,published_year,type,num_objects,num_dois,num_non_dois,objects_has_abstract,objects_has_affiliations,objects_has_affiliations_id_countrycode,objects_has_affiliations_id_ror,objects_has_affiliations_id_source,objects_has_affiliations_string,objects_has_authors,objects_has_authors_id_orcid,objects_has_authors_id_source,objects_has_authors_sequence,objects_has_authors_string,objects_has_citations,objects_has_fields,objects_has_funders,objects_has_funders_id_source,objects_has_funders_string,objects_has_references,objects_has_venue,objects_has_venue_id_issn,objects_has_venue_id_issnl,objects_has_venue_id_source,objects_has_venue_string,dois_has_abstract,dois_has_affiliations,dois_has_affiliations_id_countrycode,dois_has_affiliations_id_ror,dois_has_affiliations_id_source,dois_has_affiliations_string,dois_has_authors,dois_has_authors_id_orcid,dois_has_authors_id_source,dois_has_authors_sequence,dois_has_authors_string,dois_has_citations,dois_has_fields,dois_has_funders,dois_has_funders_id_source,dois_has_funders_string,dois_has_references,dois_has_venue,dois_has_venue_id_issn,dois_has_venue_id_issnl,dois_has_venue_id_source,dois_has_venue_string,non_dois_has_abstract,non_dois_has_affiliations,non_dois_has_affiliations_id_countrycode,non_dois_has_affiliations_id_ror,non_dois_has_affiliations_id_source,non_dois_has_affiliations_string,non_dois_has_authors,non_dois_has_authors_id_orcid,non_dois_has_authors_id_source,non_dois_has_authors_sequence,non_dois_has_authors_string,non_dois_has_citations,non_dois_has_fields,non_dois_has_funders,non_dois_has_funders_id_source,non_dois_has_funders_string,non_dois_has_references,non_dois_has_venue,non_dois_has_venue_id_issn,non_dois_has_venue_id_issnl,non_dois_has_venue_id_source,non_dois_has_venue_string
15,2024,grant,797,797,0,0,0,0,0,0,0,0,0,0,0,0,0,797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2024,letter,2,2,0,0,1,1,1,1,1,2,2,2,2,2,0,2,0,0,0,2,2,2,2,2,2,0,1,1,1,1,1,2,2,2,2,2,0,2,0,0,0,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2024,other,57,34,23,15,21,21,21,21,21,38,12,38,38,38,0,57,0,0,0,10,21,0,0,21,21,15,0,0,0,0,0,15,9,15,15,15,0,34,0,0,0,10,0,0,0,0,0,0,21,21,21,21,21,23,3,23,23,23,0,23,0,0,0,0,21,0,0,21,21
18,2024,paratext,286,286,0,11,1,1,1,1,1,1,1,1,1,1,1,286,0,0,0,0,275,75,75,275,275,11,1,1,1,1,1,1,1,1,1,1,1,286,0,0,0,0,275,75,75,275,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2024,report,4,4,0,0,3,3,3,3,3,4,2,4,4,4,0,4,0,0,0,0,3,0,0,3,3,0,3,3,3,3,3,4,2,4,4,4,0,4,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2023,article,4646960,4625455,21505,3708673,3000395,3000394,3000395,3000395,3000395,4484600,3640860,4484600,4484600,4484600,613734,4646887,774086,774086,774086,2481411,3858977,3391759,3391759,3858977,3858977,3701039,2983691,2983690,2983691,2983691,2983691,4463410,3626086,4463410,4463410,4463410,613457,4625382,774081,774081,774081,2479034,3838154,3391757,3391757,3838154,3838154,7634,16704,16704,16704,16704,16704,21190,14774,21190,21190,21190,277,21505,5,5,5,2377,20823,2,2,20823,20823
21,2023,book,42912,42234,678,16986,7444,7444,7444,7444,7444,31938,14969,31938,31938,31938,3074,42912,143,143,143,833,19894,5530,5530,19894,19894,16980,6973,6973,6973,6973,6973,31260,14782,31260,31260,31260,3072,42234,143,143,143,833,19264,5530,5530,19264,19264,6,471,471,471,471,471,678,187,678,678,678,2,678,0,0,0,0,630,0,0,630,630
22,2023,book-chapter,969617,967533,2084,257419,198727,198727,198727,198727,198727,516655,296609,516655,516655,516655,11653,969610,1029,1029,1029,216361,899183,107590,107590,899183,899183,257413,197356,197356,197356,197356,197356,514571,296137,514571,514571,514571,11653,967526,1029,1029,1029,216361,897225,107590,107590,897225,897225,6,1371,1371,1371,1371,1371,2084,472,2084,2084,2084,0,2084,0,0,0,0,1958,0,0,1958,1958
23,2023,book-part,951,951,0,852,17,17,17,17,17,25,10,25,25,25,2,951,0,0,0,38,951,9,9,951,951,852,17,17,17,17,17,25,10,25,25,25,2,951,0,0,0,38,951,9,9,951,951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2023,book-series,76,76,0,7,0,0,0,0,0,6,4,6,6,6,1,76,0,0,0,0,73,16,16,73,73,7,0,0,0,0,0,6,4,6,6,6,1,76,0,0,0,0,73,16,16,73,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2023,book-set,60,60,0,6,8,8,8,8,8,52,40,52,52,52,0,60,0,0,0,0,54,0,0,54,54,6,8,8,8,8,8,52,40,52,52,52,0,60,0,0,0,0,54,0,0,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2023,dataset,54693,54693,0,1915,4613,4613,4613,4613,4613,30653,11011,30653,30653,30653,225,54692,630,630,630,82,35604,270,270,35604,35604,1915,4613,4613,4613,4613,4613,30653,11011,30653,30653,30653,225,54692,630,630,630,82,35604,270,270,35604,35604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2023,dissertation,53072,53054,18,33549,3282,3282,3282,3282,3282,53072,11890,53072,53072,53072,1251,53072,0,0,0,1538,913,0,0,913,913,33549,3268,3268,3268,3268,3268,53054,11887,53054,53054,53054,1251,53054,0,0,0,1538,895,0,0,895,895,0,14,14,14,14,14,18,3,18,18,18,0,18,0,0,0,0,18,0,0,18,18
28,2023,editorial,10206,10201,5,7370,7930,7930,7930,7930,7930,9832,8240,9832,9832,9832,510,10206,128,128,128,5201,9904,9695,9695,9904,9904,7370,7928,7928,7928,7928,7928,9827,8237,9827,9827,9827,510,10201,128,128,128,5201,9899,9695,9695,9899,9899,0,2,2,2,2,2,5,3,5,5,5,0,5,0,0,0,0,5,0,0,5,5
29,2023,erratum,3054,3026,28,1352,1139,1139,1139,1139,1139,1672,1396,1672,1672,1672,63,3054,54,54,54,427,3016,2848,2848,3016,3016,1334,1126,1126,1126,1126,1126,1657,1383,1657,1657,1657,63,3026,54,54,54,427,2988,2848,2848,2988,2988,18,13,13,13,13,13,15,13,15,15,15,0,28,0,0,0,0,28,0,0,28,28
30,2023,grant,5075,5075,0,4,0,0,0,0,0,0,0,0,0,0,2,5075,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,5075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2023,journal-article,8,8,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,7,7,7,7,7,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2023,journal-issue,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2023,journal-volume,1502,1502,0,43,1,1,1,1,1,26,16,26,26,26,10,1502,0,0,0,0,836,750,750,836,836,43,1,1,1,1,1,26,16,26,26,26,10,1502,0,0,0,0,836,750,750,836,836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2023,letter,1544,1539,5,777,1197,1197,1197,1197,1197,1486,1316,1486,1486,1486,179,1544,84,84,84,1243,1536,1459,1459,1536,1536,776,1193,1193,1193,1193,1193,1481,1312,1481,1481,1481,179,1539,84,84,84,1242,1531,1459,1459,1531,1531,1,4,4,4,4,4,5,4,5,5,5,0,5,0,0,0,1,5,0,0,5,5
35,2023,other,30255,29133,1122,15869,4633,4633,4633,4633,4633,9630,5818,9630,9630,9630,278,30255,4,4,4,7773,6817,5159,5159,6817,6817,15840,3951,3951,3951,3951,3951,8582,5419,8582,8582,8582,275,29133,4,4,4,7771,5795,5159,5159,5795,5795,29,682,682,682,682,682,1048,399,1048,1048,1048,3,1122,0,0,0,2,1022,0,0,1022,1022
36,2023,paratext,112553,112293,260,19933,5158,5158,5158,5158,5158,9997,4724,9997,9997,9997,1395,112553,1,1,1,247,92962,70672,70672,92962,92962,19927,5032,5032,5032,5032,5032,9738,4528,9738,9738,9738,1395,112293,1,1,1,247,92702,70672,70672,92702,92702,6,126,126,126,126,126,259,196,259,259,259,0,260,0,0,0,0,260,0,0,260,260
37,2023,peer-review,67300,67300,0,19199,19307,19307,19307,19307,19307,36458,28676,36458,36458,36458,31,67300,0,0,0,0,149,0,0,149,149,19199,19307,19307,19307,19307,19307,36458,28676,36458,36458,36458,31,67300,0,0,0,0,149,0,0,149,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2023,posted-content,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2023,proceedings-series,9,9,0,2,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,4,3,3,4,4,2,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,4,3,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2023,reference-entry,7869,7869,0,1109,49,49,49,49,49,6955,1865,6955,6955,6955,37,7869,0,0,0,1339,7356,204,204,7356,7356,1109,49,49,49,49,49,6955,1865,6955,6955,6955,37,7869,0,0,0,1339,7356,204,204,7356,7356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
