id,primary_name,prefix,name,public_references,collection_date
78,Elsevier BV,10.1533,Woodhead Publishing,True,2021-12-31 18:26:46.007492
78,Elsevier BV,10.1580,Elsevier - Wilderness Medical Society,True,2021-12-31 18:26:46.007492
78,Elsevier BV,10.3816,Elsevier - CIG Media Group LP,True,2021-12-31 18:26:46.007492
78,Elsevier BV,10.1240,Elsevier- Spektrum Akademischer Verlag,True,2021-12-31 18:26:46.007492
78,Elsevier BV,10.1205,Elsevier - Institution of Chemical Engineers,True,2021-12-31 18:26:46.007492
78,Elsevier BV,10.21967,Journal of Bioresources and Bioproducts,True,2021-12-31 18:26:46.007492
78,Elsevier BV,10.1197,Elsevier- Hanley and Belfus Inc.,True,2021-12-31 18:26:46.007492
78,Elsevier BV,10.1157,Elsevier - Ediciones Doyma,True,2021-12-31 18:26:46.007492
78,Elsevier BV,10.3921,Elsevier - Colegio Nacional de Opticos-Optometristas de Espana,True,2021-12-31 18:26:46.007492
78,Elsevier BV,10.1367,Elsevier - Ambulatory Pediatric Associates,True,2021-12-31 18:26:46.007492
78,Elsevier BV,10.1378,American College of Chest Physicians,True,2021-12-31 18:26:46.007492
78,Elsevier BV,10.1331,American Pharmacists Association,True,2021-12-31 18:26:46.007492
78,Elsevier BV,10.1383,Elsevier - Medicine Publishing Company,True,2021-12-31 18:26:46.007492
78,Elsevier BV,10.1006,Elsevier - Academic Press,True,2021-12-31 18:26:46.007492
78,Elsevier BV,10.1016,Elsevier ,True,2021-12-31 18:26:46.007492
78,Elsevier BV,10.1067,Elsevier - Mosby,True,2021-12-31 18:26:46.007492
78,Elsevier BV,10.1078,Elsevier - Urban & Fischer Verlag,True,2021-12-31 18:26:46.007492
78,Elsevier BV,10.1054,Elsevier- Churchill Livingstone,True,2021-12-31 18:26:46.007492
78,Elsevier BV,10.1053,Elsevier - WB Saunders,True,2021-12-31 18:26:46.007492
78,Elsevier BV,10.3182,Elsevier - International Federation of Automatic Control (IFAC),True,2021-12-31 18:26:46.007492
78,Elsevier BV,10.3129,Canadian Opthalmological Society,True,2021-12-31 18:26:46.007492
78,Elsevier BV,10.7811,Sociedad Argentina de Radiologia,True,2021-12-31 18:26:46.007492
78,Elsevier BV,10.7424,Elsevier - Central Mining Institute,True,2021-12-31 18:26:46.007492
78,Elsevier BV,10.14219,American Dental Association,True,2021-12-31 18:26:46.007492
78,Elsevier BV,10.2111,Elsevier (Society for Range Management),True,2021-12-31 18:26:46.007492
78,Elsevier BV,10.2139,Social Science Electronic Publishing,True,2021-12-31 18:26:46.007492
78,Elsevier BV,10.2353,Elsevier - American Society for Investigative Pathology,True,2021-12-31 18:26:46.007492
78,Elsevier BV,10.4065,Elsevier - Mayo Clinic Proceedings,True,2021-12-31 18:26:46.007492
79,EMBO,10.15252,EMBO,True,2021-12-31 18:26:46.007492
80,The Endocrine Society,10.1210,The Endocrine Society,True,2021-12-31 18:26:46.007492
81,European Respiratory Society (ERS),10.1183,European Respiratory Society ,True,2021-12-31 18:26:46.007492
92,Gallaudet University Press (Project Muse),10.1374,Muse - Gallaudet University Press,False,2021-12-31 18:26:46.007492
93,Springer Fachmedien Wiesbaden GmbH,10.1365,Springer Fachmedien Wiesbaden GmbH,False,2021-12-31 18:26:46.007492
98,Hindawi Limited,10.6064,Hindawi (Scientifica),True,2021-12-31 18:26:46.007492
98,Hindawi Limited,10.3814,Hindawi Publishing Corporation (Syrexe),True,2021-12-31 18:26:46.007492
98,Hindawi Limited,10.1100,Hindawi (The Scientific World),True,2021-12-31 18:26:46.007492
98,Hindawi Limited,10.1155,Hindawi Limited,True,2021-12-31 18:26:46.007492
98,Hindawi Limited,10.5402,Hindawi (International Scholarly Research Network),True,2021-12-31 18:26:46.007492
98,Hindawi Limited,10.7217,Hindawi (Conference Papers in Science),True,2021-12-31 18:26:46.007492
98,Hindawi Limited,10.7167,Hindawi (Datasets International),True,2021-12-31 18:26:46.007492
98,Hindawi Limited,10.4061,Hindawi Publishing Corporation (Sage-Hindawi Access to Research),True,2021-12-31 18:26:46.007492
100,Human Kinetics,10.1123,Human Kinetics,False,2021-12-31 18:26:46.007492
101,Hogrefe Publishing Group,10.1024,Hogrefe Publishing Group,True,2021-12-31 18:26:46.007492
101,Hogrefe Publishing Group,10.1027,Hogrefe Publishing Group,True,2021-12-31 18:26:46.007492
