,id,primary_name,prefix,name,public_references,collection_date
122,78,Elsevier BV,10.1054,Elsevier- Churchill Livingstone,True,20211223
123,78,Elsevier BV,10.1053,Elsevier - WB Saunders,True,20211223
124,78,Elsevier BV,10.3182,Elsevier - International Federation of Automatic Control (IFAC),True,20211223
125,78,Elsevier BV,10.3129,Canadian Opthalmological Society,True,20211223
126,78,Elsevier BV,10.7811,Sociedad Argentina de Radiologia,True,20211223
127,78,Elsevier BV,10.7424,Elsevier - Central Mining Institute,True,20211223
128,78,Elsevier BV,10.14219,American Dental Association,True,20211223
129,78,Elsevier BV,10.2111,Elsevier (Society for Range Management),True,20211223
130,78,Elsevier BV,10.2139,Social Science Electronic Publishing,True,20211223
131,78,Elsevier BV,10.2353,Elsevier - American Society for Investigative Pathology,True,20211223
132,78,Elsevier BV,10.4065,Elsevier - Mayo Clinic Proceedings,True,20211223
133,79,EMBO,10.15252,EMBO,True,20211223
135,80,The Endocrine Society,10.1210,The Endocrine Society,True,20211223
137,81,European Respiratory Society (ERS),10.1183,European Respiratory Society ,True,20211223
139,92,Gallaudet University Press (Project Muse),10.1374,Muse - Gallaudet University Press,False,20211223
141,93,Springer Fachmedien Wiesbaden GmbH,10.1365,Springer Fachmedien Wiesbaden GmbH,False,20211223
143,98,Hindawi Limited,10.6064,Hindawi (Scientifica),True,20211223
144,98,Hindawi Limited,10.3814,Hindawi Publishing Corporation (Syrexe),True,20211223
146,98,Hindawi Limited,10.1100,Hindawi (The Scientific World),True,20211223
147,98,Hindawi Limited,10.1155,Hindawi Limited,True,20211223
148,98,Hindawi Limited,10.5402,Hindawi (International Scholarly Research Network),True,20211223
149,98,Hindawi Limited,10.7217,Hindawi (Conference Papers in Science),True,20211223
150,98,Hindawi Limited,10.7167,Hindawi (Datasets International),True,20211223
151,98,Hindawi Limited,10.4061,Hindawi Publishing Corporation (Sage-Hindawi Access to Research),True,20211223
152,100,Human Kinetics,10.1123,Human Kinetics,False,20211223
154,101,Hogrefe Publishing Group,10.1024,Hogrefe Publishing Group,True,20211223
155,101,Hogrefe Publishing Group,10.1027,Hogrefe Publishing Group,True,20211223
156,101,Hogrefe Publishing Group,10.1026,Hogrefe Publishing Group,True,20211223
158,102,Health Affairs (Project Hope),10.1377,Project Hope,True,20211223
160,103,International Bone & Mineral Society,10.1138,International Bone and Mineral Society,False,20211223
162,108,Institute of Mathematical Statistics,10.1214,Institute of Mathematical Statistics,False,20211223
164,109,Institute for Operations Research and the Management Sciences (INFORMS),10.1287,Institute for Operations Research and the Management Sciences,True,20211223
166,111,Institute of Organic Chemistry & Biochemistry,10.1135,"Institute of Organic Chemistry & Biochemistry, Academy of Sciences of the Czech Republic",False,20211223
168,112,ISEAS - Yusof Ishak Institute,10.1355,ISEAS - Yusof Ishak Institute,False,20211223
170,113,International Union of Pure and Applied Chemistry (IUPAC),10.1351,International Union of Pure and Applied Chemistry,True,20211223
172,116,Japanese Society of  Mammalian Ova Research,10.1274,BioOne (Japanese Society of Mammalian Ova Research),False,20211223
174,118,Japan Society of Equine Science,10.1294,Japan Society of Equine Science,False,20211223
176,119,Japanese Society of Hypertension,10.1291,Japanese Society of Hypertension,False,20211223
178,120,Japanese Physical Therapy Association,10.1298,Japanese Physical Therapy Association,True,20211223
180,121,Japanese Society of Toxicologic Pathology,10.1293,The Japanese Society of Toxicologic Pathology,False,20211223
182,122,Japanese Society of Veterinary Science,10.1292,Japanese Society of Veterinary Science,False,20211223
184,123,Japan Radiation Research Society,10.1269,The Japan Radiation Research Society,False,20211223
186,124,Japan Society of Mechanical Engineers,10.1299,The Japan Society of Mechanical Engineers,False,20211223
188,125,Japanese Society for Pediatric Endocrinology,10.1297,The Japanese Society for Pediatric Endocrinology,False,20211223
190,127,S. Karger AG,10.1159,S. Karger AG,True,20211223
192,130,Thomas Land Publishers,10.1310,"Thomas Land Publishers, Inc.",False,20211223
194,137,Pleiades Publishing Ltd,10.1134,Pleiades Publishing,True,20211223
196,138,Maney Publishing,10.1179,Maney Publishing,True,20211223
198,140,Emerald,10.35241,Emerald - Emerald Open Research,True,20211223
199,140,Emerald,10.1108,Emerald (MCB UP),True,20211223
200,140,Emerald,10.5042,Emerald - Pier Professional,True,20211223
202,141,Metapress,10.1092,Metapress,False,20211223
204,143,Michigan Mathematical Journal,10.1307,Michigan Mathematical Journal,False,20211223
206,147,Project Muse,10.1353,Project MUSE,True,20211223
207,147,Project Muse,10.26597,JHUP Journals Division,True,20211223
209,149,Notre Dame Journal of Formal Logic,10.1305,Notre Dame Journal of Formal Logic,False,20211223
211,150,Massachusetts Medical Society,10.1056,New England Journal of Medicine,False,20211223
213,155,Canadian Science Publishing,10.1139,Canadian Science Publishing,True,20211223
215,160,Penn State Press (Project Muse),10.1376,Muse - Penn State Press,False,20211223
217,162,Royal Pharmaceutical Society,10.1211,Royal Pharmaceutical Society,False,20211223
218,162,Royal Pharmaceutical Society,10.18578,Royal Pharmaceutical Society,False,20211223
220,163,Pharmaceutical Society of Japan,10.1248,Pharmaceutical Society of Japan,False,20211223
222,164,Pion Ltd,10.1068,Pion Ltd.,False,20211223
224,165,Bristol University Press,10.47674,Bristol University Press,True,20211223
225,165,Bristol University Press,10.1332,Bristol University Press,False,20211223
226,165,Bristol University Press,10.51952,Bristol University Press,True,20211223
228,165,Bristol University Press,10.46692,Bristol University Press,True,20211223
229,170,Royal College of Psychiatrists,10.1192,Royal College of Psychiatrists,True,20211223
231,171,Royal College of Surgeons of England,10.1308,The Royal College of Surgeons of England,True,20211223
233,175,The Royal Society,10.1098,The Royal Society,True,20211223
235,177,Royal Swedish Academy of Sciences,10.1238,Royal Swedish Academy of Sciences,False,20211223
237,179,SAGE Publications,10.47594,Adam Matthew Digital,True,20211223
238,179,SAGE Publications,10.47515,SAGE Publications,True,20211223
239,179,SAGE Publications,10.1622,SagePublications - National Association of School Nurses,True,20211223
240,179,SAGE Publications,10.1630,Sage Publications-International Institute for Environment and Development,True,20211223
241,179,SAGE Publications,10.1606,Alliance for Children and Families,False,20211223
242,179,SAGE Publications,10.3818,Justice Research & Statistics Association,False,20211223
243,179,SAGE Publications,10.3821,Canadian Pharmacists Journal,True,20211223
244,179,SAGE Publications,10.1243,Research Publishing Services - Professional Engineering Publishing,True,20211223
245,179,SAGE Publications,10.1258,The Royal Society of Medicine,True,20211223
246,179,SAGE Publications,10.1106,Sage Publications - Technomic Publishing Company,True,20211223
247,179,SAGE Publications,10.1191,Arnold Publishers,True,20211223
248,179,SAGE Publications,10.1177,SAGE Publications,True,20211223
249,179,SAGE Publications,10.31124,SAGE Publications,True,20211223
250,179,SAGE Publications,10.1345,Harvey Whitney Books Co.,True,20211223
251,179,SAGE Publications,10.1354,American College of Veterinary Pathologists,True,20211223
252,179,SAGE Publications,10.1369,Journal of Histochemistry & Cytochemistry,True,20211223
253,179,SAGE Publications,10.3317,Sage Publications (JRAAS Limited),True,20211223
254,179,SAGE Publications,10.5153,Sociological Research Online,False,20211223
255,179,SAGE Publications,10.5126,"Excellus Health Plan, Inc.",True,20211223
256,179,SAGE Publications,10.5193,Association for Experimental Education,True,20211223
257,179,SAGE Publications,10.5034,"Excellus Health Plan, Inc.",True,20211223
258,179,SAGE Publications,10.5367,IP Publishing,True,20211223
259,179,SAGE Publications,10.5301,"Wichtig Publishing, SRL",False,20211223
260,179,SAGE Publications,10.7182,North American Transplant Coordinators Organization,True,20211223
261,179,SAGE Publications,10.14240,SAGE,False,20211223
262,179,SAGE Publications,10.2968,Sage Publications - Bulletin of the Atomic Scientists,True,20211223
263,179,SAGE Publications,10.12679,Alliance for Children and Families,False,20211223
265,179,SAGE Publications,10.2511,TASH,True,20211223
266,179,SAGE Publications,10.2182,Canadian Association of Occupational Therapists,True,20211223
267,179,SAGE Publications,10.2189,"Johnson Graduate School of Management, Cornell University",False,20211223
268,179,SAGE Publications,10.4137,"Libertas Academica, Ltd.",False,20211223
269,179,SAGE Publications,10.4135,Sage Publications - Reference E-Books,True,20211223
270,179,SAGE Publications,10.4219,"Sage Publications (Prufrock Press, Inc.)",True,20211223
271,179,SAGE Publications,10.15256,"Swiss Medical Press, GmbH",True,20211223
272,179,SAGE Publications,10.17322,Sage - Corwin,True,20211223
273,180,Society for Applied Spectroscopy,10.1366,Society for Applied Spectroscopy,False,20211223
275,181,Schweizerbart,10.1127,Schweizerbart,False,20211223
277,183,Society for Leukocyte Biology,10.1189,Society for Leukocyte Biology,False,20211223
279,186,Society of Exploration Geophysicists,10.1190,Society of Exploration Geophysicists,True,20211223
280,186,Society of Exploration Geophysicists,10.7462,Society of Exploration Geophysicists,True,20211223
282,186,Society of Exploration Geophysicists,10.4133,Environmental and Engineering Geophysical Society,True,20211223
283,187,Society of Rheology,10.1122,Society of Rheology,False,20211223
285,189,SPIE-Intl Soc Optical Eng,10.1117,SPIE - International Society for Optical Engineering,True,20211223
287,191,Swets & Zeitlinger Publishers,10.1076,Informa UK (Swets & Zeitlinger Publishers),True,20211223
289,192,Techno-Press,10.1296,,False,20211223
291,194,Georg Thieme Verlag KG,10.15654,10.15654 (Tierarztl Prax Ausg K Kleintiere Heimtiere),True,20211223
292,194,Georg Thieme Verlag KG,10.15653,10.15653 (Tierarztl Prax Ausg G Grosstiere Nutztiere),True,20211223
293,194,Georg Thieme Verlag KG,10.1160,Thieme,True,20211223
294,194,Georg Thieme Verlag KG,10.3413,Thieme (NuklearMedizin/NuclearMedicine),True,20211223
295,194,Georg Thieme Verlag KG,10.3414,Thieme (Methods of Information in Medicine),True,20211223
296,194,Georg Thieme Verlag KG,10.3415,Thieme (Veterinary and Comparative Orthopaedics and Traumatology),True,20211223
297,194,Georg Thieme Verlag KG,10.1055,Georg Thieme Verlag KG,True,20211223
298,194,Georg Thieme Verlag KG,10.5482,Thieme (Hamostaseologie),True,20211223
299,194,Georg Thieme Verlag KG,10.12687,Thieme (Phlebologie),True,20211223
