,published_year,type,num_objects,num_dois,num_non_dois,objects_has_type,dois_has_type,non_dois_has_type,objects_has_abstract,objects_has_affiliations,objects_has_affiliations_countrycode,objects_has_affiliations_ror,objects_has_affiliations_sourceid,objects_has_affiliations_string,objects_has_authors,objects_has_authors_orcid,objects_has_authors_sequence,objects_has_authors_sourceid,objects_has_authors_string,objects_has_citations,objects_has_fields,objects_has_fields_mag,objects_has_references,objects_has_venue,objects_has_venue_issn,objects_has_venue_issnl,objects_has_venue_sourceid,objects_has_venue_string,dois_has_abstract,dois_has_affiliations,dois_has_affiliations_countrycode,dois_has_affiliations_ror,dois_has_affiliations_sourceid,dois_has_affiliations_string,dois_has_authors,dois_has_authors_orcid,dois_has_authors_sequence,dois_has_authors_sourceid,dois_has_authors_string,dois_has_citations,dois_has_fields,dois_has_fields_mag,dois_has_references,dois_has_venue,dois_has_venue_issn,dois_has_venue_issnl,dois_has_venue_sourceid,dois_has_venue_string,non_dois_has_abstract,non_dois_has_affiliations,non_dois_has_affiliations_countrycode,non_dois_has_affiliations_ror,non_dois_has_affiliations_sourceid,non_dois_has_affiliations_string,non_dois_has_authors,non_dois_has_authors_orcid,non_dois_has_authors_sequence,non_dois_has_authors_sourceid,non_dois_has_authors_string,non_dois_has_citations,non_dois_has_fields,non_dois_has_fields_mag,non_dois_has_references,non_dois_has_venue,non_dois_has_venue_issn,non_dois_has_venue_issnl,non_dois_has_venue_sourceid,non_dois_has_venue_string
17,2022.0,,8928,6800,2128,0,0,0,5865,6468,4617,4399,4627,6468,8672,3548,8672,8672,8672,177,2955,2955,3830,1,1,1,1,4029,4886,5260,3899,3696,3909,5260,6544,2728,6544,6544,6544,157,1698,1698,3660,1,1,1,1,2648,979,1208,718,703,718,1208,2128,820,2128,2128,2128,20,1257,1257,170,0,0,0,0,1381
18,2022.0,book,3798,3166,632,3798,3166,632,634,454,322,315,322,454,2306,418,2382,2382,2306,163,3429,3429,41,53,53,53,53,770,413,194,129,127,129,194,1674,244,1750,1750,1674,16,2858,2858,12,53,53,53,53,768,221,260,193,188,193,260,632,174,632,632,632,147,571,571,29,0,0,0,0,2
19,2022.0,book-chapter,75293,75110,183,75293,75110,183,37327,30104,24644,23169,24807,30104,62164,18875,62230,62230,62164,691,63970,63970,36880,1570,1097,1100,1570,47918,37257,30074,24632,23157,24795,30074,61981,18778,62047,62047,61981,686,63848,63848,36847,1570,1097,1100,1570,47874,70,30,12,12,12,30,183,97,183,183,183,5,122,122,33,0,0,0,0,44
20,2022.0,book-part,32,32,0,32,32,0,3,0,0,0,0,0,0,0,0,0,0,0,31,31,0,0,0,0,0,29,3,0,0,0,0,0,0,0,0,0,0,0,31,31,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2022.0,book-series,9,9,0,9,9,0,3,0,0,0,0,0,0,0,1,1,0,0,6,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2022.0,book-set,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2022.0,dataset,1894,1891,3,1894,1891,3,230,268,212,206,212,268,660,229,663,663,660,0,1483,1483,0,0,0,0,0,1787,227,268,212,206,212,268,657,229,660,660,657,0,1482,1482,0,0,0,0,0,1786,3,0,0,0,0,0,3,0,3,3,3,0,1,1,0,0,0,0,0,1
24,2022.0,dissertation,1635,1627,8,1635,1627,8,598,131,97,97,97,131,1635,47,1635,1635,1635,2,1564,1564,5,0,0,0,0,3,595,131,97,97,97,131,1627,45,1627,1627,1627,2,1559,1559,1,0,0,0,0,1,3,0,0,0,0,0,8,2,8,8,8,0,5,5,4,0,0,0,0,2
25,2022.0,journal,354,354,0,354,354,0,0,0,0,0,0,0,0,0,0,0,0,0,292,292,0,8,7,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,292,292,0,8,7,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2022.0,journal-article,326248,297326,28922,326248,297326,28922,260013,257070,228116,223272,228961,257070,313209,204035,313367,313367,313209,13589,306231,306231,202952,263462,259240,260602,263462,323022,239561,234354,208398,204070,209151,234354,284895,188137,285042,285042,284895,13581,277743,277743,195929,237191,233382,234353,237191,294248,20452,22716,19718,19202,19810,22716,28314,15898,28325,28325,28314,8,28488,28488,7023,26271,25858,26249,26271,28774
27,2022.0,journal-issue,33,33,0,33,33,0,7,1,1,1,1,1,1,1,1,1,1,0,16,16,1,12,11,12,12,33,7,1,1,1,1,1,1,1,1,1,1,0,16,16,1,12,11,12,12,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2022.0,monograph,1821,1802,19,1821,1802,19,689,201,132,131,132,201,1694,84,1697,1697,1694,13,1748,1748,3,0,0,0,0,70,689,197,128,127,128,197,1675,82,1678,1678,1675,11,1729,1729,3,0,0,0,0,70,0,4,4,4,4,4,19,2,19,19,19,2,19,19,0,0,0,0,0,0
29,2022.0,other,2430,2424,6,2430,2424,6,559,511,455,451,456,511,1083,467,1091,1091,1083,1,2096,2096,616,648,646,648,648,2311,559,506,453,450,453,506,1077,467,1085,1085,1077,1,2090,2090,616,646,646,646,646,2309,0,5,2,1,3,5,6,0,6,6,6,0,6,6,0,2,0,2,2,2
30,2022.0,peer-review,1994,1994,0,1994,1994,0,1343,671,555,529,558,671,1042,99,1042,1042,1042,0,702,702,0,0,0,0,0,0,1343,671,555,529,558,671,1042,99,1042,1042,1042,0,702,702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2022.0,posted-content,13232,13111,121,13232,13111,121,11169,9553,8305,8128,8319,9553,13146,7770,13148,13148,13146,33,13117,13117,947,1744,1687,1693,1744,1865,11081,9497,8267,8092,8281,9497,13026,7722,13028,13028,13026,29,13005,13005,933,1680,1667,1667,1680,1797,88,56,38,36,38,56,120,48,120,120,120,4,112,112,14,64,20,26,64,68
32,2022.0,proceedings,45,44,1,45,44,1,6,2,2,2,2,2,3,0,3,3,3,0,43,43,0,0,0,0,0,4,6,1,1,1,1,1,2,0,2,2,2,0,42,42,0,0,0,0,0,4,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0
33,2022.0,proceedings-article,7791,7734,57,7791,7734,57,2117,4266,3580,3418,3602,4266,7773,1743,7773,7773,7773,10,7619,7619,3544,618,617,617,618,7419,2096,4215,3537,3378,3559,4215,7716,1719,7716,7716,7716,10,7580,7580,3541,618,617,617,618,7377,21,51,43,40,43,51,57,24,57,57,57,0,39,39,3,0,0,0,0,42
34,2022.0,proceedings-series,4,4,0,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2022.0,reference-book,272,272,0,272,272,0,0,0,0,0,0,0,263,10,263,263,263,0,264,264,0,0,0,0,0,1,0,0,0,0,0,0,263,10,263,263,263,0,264,264,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
