,published_year,type,num_dois,num_objects,objects_has_abstract,objects_has_affiliations,objects_has_affiliations_countrycode,objects_has_affiliations_grid,objects_has_affiliations_sourceid,objects_has_affiliations_string,objects_has_authors,objects_has_authors_sequence,objects_has_authors_sourceid,objects_has_authors_string,objects_has_citations,objects_has_fields,objects_has_fields_mag,objects_has_references,objects_has_venue,objects_has_venue_issn,objects_has_venue_sourceid,objects_has_venue_string,dois_has_abstract,dois_has_affiliations,dois_has_affiliations_countrycode,dois_has_affiliations_grid,dois_has_affiliations_sourceid,dois_has_affiliations_string,dois_has_authors,dois_has_authors_sequence,dois_has_authors_sourceid,dois_has_authors_string,dois_has_citations,dois_has_fields,dois_has_fields_mag,dois_has_references,dois_has_venue,dois_has_venue_issn,dois_has_venue_sourceid,dois_has_venue_string,non_dois_has_abstract,non_dois_has_affiliations,non_dois_has_affiliations_countrycode,non_dois_has_affiliations_grid,non_dois_has_affiliations_sourceid,non_dois_has_affiliations_string,non_dois_has_authors,non_dois_has_authors_sequence,non_dois_has_authors_sourceid,non_dois_has_authors_string,non_dois_has_citations,non_dois_has_fields,non_dois_has_fields_mag,non_dois_has_references,non_dois_has_venue,non_dois_has_venue_issn,non_dois_has_venue_sourceid,non_dois_has_venue_string
16,2021.0,Repository,112339,299874,288998,183457,175528,171901,176371,183457,299874,299874,299874,299874,56671,294760,294760,209790,279832,3295,279832,279832,105938,96039,90899,89026,91213,96039,112339,112339,112339,112339,22141,110901,110901,76212,103307,1986,103307,103307,183060,87418,84629,82875,85158,87418,187535,187535,187535,187535,34530,183859,183859,133578,176525,1309,176525,176525
17,2021.0,Thesis,21061,75976,32232,1863,436,370,440,1863,75976,75976,75976,75976,917,58823,58823,8402,0,0,0,0,6763,133,78,71,78,133,21061,21061,21061,21061,365,17149,17149,1358,0,0,0,0,25469,1730,358,299,362,1730,54915,54915,54915,54915,552,41674,41674,7044,0,0,0,0
18,2020.0,,1965469,3900504,1588252,1291634,781872,741859,791235,1291634,3900504,3900504,3900504,3900504,365973,2546211,2546211,710677,0,0,0,0,950377,987349,649476,617378,655854,987349,1965469,1965469,1965469,1965469,318823,1455676,1455676,650823,0,0,0,0,637875,304285,132396,124481,135381,304285,1935035,1935035,1935035,1935035,47150,1090535,1090535,59854,0,0,0,0
19,2020.0,Book,18536,64679,15289,7405,4741,4546,4754,7405,64679,64679,64679,64679,12941,41698,41698,2122,0,0,0,0,3405,1622,1035,990,1038,1622,18536,18536,18536,18536,3936,7983,7983,428,0,0,0,0,11884,5783,3706,3556,3716,5783,46143,46143,46143,46143,9005,33715,33715,1694,0,0,0,0
20,2020.0,BookChapter,240731,254683,26699,31540,27718,26490,27838,31540,254683,254683,254683,254683,20991,140749,140749,48499,0,0,0,0,23028,31167,27512,26287,27632,31167,240731,240731,240731,240731,20501,132898,132898,48064,0,0,0,0,3671,373,206,203,206,373,13952,13952,13952,13952,490,7851,7851,435,0,0,0,0
21,2020.0,Conference,204720,220720,198575,191691,193150,186821,194674,191691,220720,220720,220720,220720,95624,215544,215544,177782,0,0,0,0,188996,185940,179480,173448,180930,185940,204720,204720,204720,204720,87260,200305,200305,171938,0,0,0,0,9579,5751,13670,13373,13744,5751,16000,16000,16000,16000,8364,15239,15239,5844,0,0,0,0
22,2020.0,Dataset,4888,6403,2428,34,31,31,31,34,6403,6403,6403,6403,454,5628,5628,9,0,0,0,0,1823,32,29,29,29,32,4888,4888,4888,4888,412,4495,4495,8,0,0,0,0,605,2,2,2,2,2,1515,1515,1515,1515,42,1133,1133,1,0,0,0,0
23,2020.0,Journal,3190816,3419558,2542895,2682724,2429883,2380137,2441639,2682724,3419558,3419558,3419558,3419558,1980141,3249157,3249157,2365387,3419558,3168370,3419558,3419558,2440958,2616655,2383638,2335794,2394977,2616655,3190816,3190816,3190816,3190816,1956863,3061406,3061406,2345522,3190816,2980594,3190816,3190816,101937,66069,46245,44343,46662,66069,228742,228742,228742,228742,23278,187751,187751,19865,228742,187776,228742,228742
24,2020.0,Patent,35,4515472,4344648,260727,140163,124873,142010,260727,4515472,4515472,4515472,4515472,212139,4280656,4280656,942799,37,15,37,37,29,26,25,24,25,26,35,35,35,35,23,35,35,26,18,13,18,18,4344619,260701,140138,124849,141985,260701,4515437,4515437,4515437,4515437,212116,4280621,4280621,942773,19,2,19,19
25,2020.0,Repository,148312,339501,324534,224734,213739,208594,214625,224734,339501,339501,339501,339501,122019,332170,332170,217149,307984,4037,307984,307984,143036,128458,121667,118945,122045,128458,148312,148312,148312,148312,58568,146622,146622,101756,139705,1676,139705,139705,181498,96276,92072,89649,92580,96276,191189,191189,191189,191189,63451,185548,185548,115393,168279,2361,168279,168279
26,2020.0,Thesis,23013,277889,132203,6037,1053,879,1068,6037,277889,277889,277889,277889,5227,193926,193926,15458,0,0,0,0,8448,240,132,126,133,240,23013,23013,23013,23013,1190,17506,17506,2083,0,0,0,0,123755,5797,921,753,935,5797,254876,254876,254876,254876,4037,176420,176420,13375,0,0,0,0
27,2019.0,,1759440,3957557,1582974,1226366,741816,703793,749657,1226366,3957557,3957557,3957557,3957557,456081,2478021,2478021,632005,0,0,0,0,866812,870773,576729,548455,581818,870773,1759440,1759440,1759440,1759440,379264,1284151,1284151,568095,0,0,0,0,716162,355593,165087,155338,167839,355593,2198117,2198117,2198117,2198117,76817,1193870,1193870,63910,0,0,0,0
28,2019.0,Book,14871,73778,21253,8332,5019,4762,5029,8332,73778,73778,73778,73778,20649,45934,45934,2438,0,0,0,0,2964,1490,920,870,922,1490,14871,14871,14871,14871,4793,6939,6939,454,0,0,0,0,18289,6842,4099,3892,4107,6842,58907,58907,58907,58907,15856,38995,38995,1984,0,0,0,0
29,2019.0,BookChapter,221492,236773,26923,27025,23535,22639,23667,27025,236773,236773,236773,236773,28844,140487,140487,41548,0,0,0,0,22297,26398,23231,22345,23362,26398,221492,221492,221492,221492,27835,132552,132552,40848,0,0,0,0,4626,627,304,294,305,627,15281,15281,15281,15281,1009,7935,7935,700,0,0,0,0
30,2019.0,Conference,240267,256679,234452,227796,226539,219031,228354,227796,256679,256679,256679,256679,144385,251435,251435,208360,0,0,0,0,224624,220796,213205,206005,214840,220796,240267,240267,240267,240267,136037,236439,236439,202767,0,0,0,0,9828,7000,13334,13026,13514,7000,16412,16412,16412,16412,8348,14996,14996,5593,0,0,0,0
