id,primary_name,prefix,name,public_references,collection_date
1,Annals of Family Medicine,10.1370,Annals of Family Medicine,False,2022-01-10
2,American Association of Petroleum Geologists AAPG/Datapages,10.1306,AAPG/Datapages,False,2022-01-10
2,American Association of Petroleum Geologists AAPG/Datapages,10.15530,AAPG/Datapages,False,2022-01-10
3,American Association of Physics Teachers (AAPT),10.1119,American Association of Physics Teachers,False,2022-01-10
6,American College of Medical Physics (ACMP),10.1120,American College of Medical Physics,False,2022-01-10
9,Allen Press,10.1043,Allen Press,False,2022-01-10
10,American Medical Association (AMA),10.1001,American Medical Association,True,2022-01-10
11,American Economic Association,10.1257,American Economic Association,False,2022-01-10
12,American Meteorological Society,10.1175,American Meteorological Society,True,2022-01-10
13,American Geophysical Union (AGU),10.1029,American Geophysical Union,True,2022-01-10
14,American Mathematical Society (AMS),10.1090,American Mathematical Society,True,2022-01-10
15,American Psychological Association (APA),10.5084,"Psychomusicology: Music, Mind and Brain",False,2022-01-10
15,American Psychological Association (APA),10.1037,American Psychological Association,False,2022-01-10
16,American Physical Society (APS),10.1103,American Physical Society,True,2022-01-10
16,American Physical Society (APS),10.29172,American Physical Society (APS),False,2022-01-10
17,American Scientific Publishers,10.1166,American Scientific Publishers,False,2022-01-10
19,American Thoracic Society,10.1513,American Thoracic Society,True,2022-01-10
19,American Thoracic Society,10.1164,American Thoracic Society,True,2022-01-10
19,American Thoracic Society,10.1165,American Thoracic Society,True,2022-01-10
19,American Thoracic Society,10.34197,ATS Scholar,True,2022-01-10
20,American Vacuum Society,10.1116,American Vacuum Society,False,2022-01-10
21,Medical Association of Nippon Medical School,10.1272,The Medical Association of Nippon Medical School,False,2022-01-10
22,Annual Reviews,10.1146,Annual Reviews,False,2022-01-10
23,American Pharmacists Association,10.21019,American Pharmacists Association,True,2022-01-10
24,American Physiological Society,10.1152,American Physiological Society,True,2022-01-10
25,Applied Probability Trust,10.1239,Applied Probability Trust,False,2022-01-10
27,Association for Research in Vision and Ophthalmology (ARVO),10.1167,Association for Research in Vision and Ophthalmology (ARVO),False,2022-01-10
28,American Society for Biochemistry & Molecular Biology (ASBMB),10.1194,"American Society for Biochemistry and Molecular Biology, Journal of Lipid Research",True,2022-01-10
28,American Society for Biochemistry & Molecular Biology (ASBMB),10.1074,American Society for Biochemistry and Molecular Biology,True,2022-01-10
30,American Society of Civil Engineers (ASCE),10.1061,American Society of Civil Engineers,True,2022-01-10
32,American Society for Clinical Pathology (ASCP),10.1309,American Society for Clinical Pathology,False,2022-01-10
33,ASME International,10.1115,ASME International ,True,2022-01-10
36,American Society for Pharmacology & Experimental Therapeutics (ASPET),10.1124,American Society for Pharmacology & Experimental Therapeutics,True,2022-01-10
37,American Society of Plant Biologists (ASPB),10.46678,Plant Biology iPosters,True,2022-01-10
37,American Society of Plant Biologists (ASPB),10.1104,American Society of Plant Biologists,True,2022-01-10
37,American Society of Plant Biologists (ASPB),10.1105,American Society of Plant Biologists,True,2022-01-10
42,British Editorial Society of Bone & Joint Surgery,10.1302,British Editorial Society of Bone and Joint Surgery,True,2022-01-10
45,British Institute of Radiology,10.1259,British Institute of Radiology,True,2022-01-10
46,Blackhorse Publishing,10.1066,,False,2022-01-10
50,Brill,10.1163,Brill,True,2022-01-10
50,Brill,10.2959,Brill,True,2022-01-10
56,Cambridge University Press (CUP),10.33774,Cambridge University Press pre-prints,True,2022-01-10
56,Cambridge University Press (CUP),10.3815,Cambridge University Press (Society for the Promotion of Roman Studies),True,2022-01-10
56,Cambridge University Press (CUP),10.1154,International Centre for Diffraction Data,True,2022-01-10
56,Cambridge University Press (CUP),10.1375,Cambridge University Press (Australian Academic Press),True,2022-01-10
56,Cambridge University Press (CUP),10.5949,Cambridge University Press (CUP),True,2022-01-10
56,Cambridge University Press (CUP),10.5948,Cambridge University Press (Mathematical Association of America),True,2022-01-10
56,Cambridge University Press (CUP),10.1017,Cambridge University Press,True,2022-01-10
56,Cambridge University Press (CUP),10.7313,Cambridge University Press (Nottingham University Press),True,2022-01-10
56,Cambridge University Press (CUP),10.7135,Cambridge University Press (Anthem Press),True,2022-01-10
56,Cambridge University Press (CUP),10.4039,Cambridge University Press (Entomological Society of Canada),True,2022-01-10
63,Clay Minerals Society,10.1346,Clay Minerals Society,False,2022-01-10
67,CSIRO Publishing,10.1071,CSIRO Publishing,True,2022-01-10
69,Dartmouth College Library Press,10.1349,Dartmouth College Library Press,False,2022-01-10
71,Clarivate,10.14322,Publons,False,2022-01-10
71,Clarivate,10.1358,Thomson Reuters (Prous Science),False,2022-01-10
71,Clarivate,10.4023,Clarivate,False,2022-01-10
72,CNRI Acct,10.1045,Corporation for National Research Initiatives,True,2022-01-10
73,Duke University Press,10.1215,Duke University Press,True,2022-01-10
75,Earthquake Engineering Research Institute,10.1193,Earthquake Engineering Research Institute,False,2022-01-10
77,The Electrochemical Society,10.1149,The Electrochemical Society,True,2022-01-10
78,Elsevier BV,10.25013,American Association for Thoracic Surgery,True,2022-01-10
78,Elsevier BV,10.1602,Elsevier - American Society for Experimental Neurotherapeutics,True,2022-01-10
78,Elsevier BV,10.1529,Elsevier - Biophysical Society,True,2022-01-10
78,Elsevier BV,10.1533,Woodhead Publishing,True,2022-01-10
78,Elsevier BV,10.1580,Elsevier - Wilderness Medical Society,True,2022-01-10
78,Elsevier BV,10.3816,Elsevier - CIG Media Group LP,True,2022-01-10
78,Elsevier BV,10.1240,Elsevier- Spektrum Akademischer Verlag,True,2022-01-10
78,Elsevier BV,10.1205,Elsevier - Institution of Chemical Engineers,True,2022-01-10
78,Elsevier BV,10.21967,Journal of Bioresources and Bioproducts,True,2022-01-10
78,Elsevier BV,10.1197,Elsevier- Hanley and Belfus Inc.,True,2022-01-10
78,Elsevier BV,10.1157,Elsevier - Ediciones Doyma,True,2022-01-10
78,Elsevier BV,10.3921,Elsevier - Colegio Nacional de Opticos-Optometristas de Espana,True,2022-01-10
78,Elsevier BV,10.1367,Elsevier - Ambulatory Pediatric Associates,True,2022-01-10
78,Elsevier BV,10.1378,American College of Chest Physicians,True,2022-01-10
78,Elsevier BV,10.1331,American Pharmacists Association,True,2022-01-10
78,Elsevier BV,10.1383,Elsevier - Medicine Publishing Company,True,2022-01-10
78,Elsevier BV,10.1006,Elsevier - Academic Press,True,2022-01-10
78,Elsevier BV,10.1016,Elsevier ,True,2022-01-10
78,Elsevier BV,10.1067,Elsevier - Mosby,True,2022-01-10
78,Elsevier BV,10.1078,Elsevier - Urban & Fischer Verlag,True,2022-01-10
78,Elsevier BV,10.1054,Elsevier- Churchill Livingstone,True,2022-01-10
78,Elsevier BV,10.1053,Elsevier - WB Saunders,True,2022-01-10
78,Elsevier BV,10.3182,Elsevier - International Federation of Automatic Control (IFAC),True,2022-01-10
78,Elsevier BV,10.3129,Canadian Opthalmological Society,True,2022-01-10
78,Elsevier BV,10.7811,Sociedad Argentina de Radiologia,True,2022-01-10
78,Elsevier BV,10.7424,Elsevier - Central Mining Institute,True,2022-01-10
78,Elsevier BV,10.14219,American Dental Association,True,2022-01-10
78,Elsevier BV,10.2111,Elsevier (Society for Range Management),True,2022-01-10
78,Elsevier BV,10.2139,Social Science Electronic Publishing,True,2022-01-10
78,Elsevier BV,10.2353,Elsevier - American Society for Investigative Pathology,True,2022-01-10
78,Elsevier BV,10.4065,Elsevier - Mayo Clinic Proceedings,True,2022-01-10
79,EMBO,10.15252,EMBO,True,2022-01-10
80,The Endocrine Society,10.1210,The Endocrine Society,True,2022-01-10
81,European Respiratory Society (ERS),10.1183,European Respiratory Society ,True,2022-01-10
92,Gallaudet University Press (Project Muse),10.1374,Muse - Gallaudet University Press,False,2022-01-10
93,Springer Fachmedien Wiesbaden GmbH,10.1365,Springer Fachmedien Wiesbaden GmbH,False,2022-01-10
98,Hindawi Limited,10.6064,Hindawi (Scientifica),True,2022-01-10
98,Hindawi Limited,10.3814,Hindawi Publishing Corporation (Syrexe),True,2022-01-10
98,Hindawi Limited,10.1100,Hindawi (The Scientific World),True,2022-01-10
98,Hindawi Limited,10.1155,Hindawi Limited,True,2022-01-10
98,Hindawi Limited,10.5402,Hindawi (International Scholarly Research Network),True,2022-01-10
98,Hindawi Limited,10.7217,Hindawi (Conference Papers in Science),True,2022-01-10
98,Hindawi Limited,10.7167,Hindawi (Datasets International),True,2022-01-10
98,Hindawi Limited,10.4061,Hindawi Publishing Corporation (Sage-Hindawi Access to Research),True,2022-01-10
100,Human Kinetics,10.1123,Human Kinetics,False,2022-01-10
101,Hogrefe Publishing Group,10.1024,Hogrefe Publishing Group,True,2022-01-10
101,Hogrefe Publishing Group,10.1027,Hogrefe Publishing Group,True,2022-01-10
101,Hogrefe Publishing Group,10.1026,Hogrefe Publishing Group,True,2022-01-10
102,Health Affairs (Project Hope),10.1377,Project Hope,True,2022-01-10
103,International Bone & Mineral Society,10.1138,International Bone and Mineral Society,False,2022-01-10
108,Institute of Mathematical Statistics,10.1214,Institute of Mathematical Statistics,False,2022-01-10
109,Institute for Operations Research and the Management Sciences (INFORMS),10.1287,Institute for Operations Research and the Management Sciences,True,2022-01-10
111,Institute of Organic Chemistry & Biochemistry,10.1135,"Institute of Organic Chemistry & Biochemistry, Academy of Sciences of the Czech Republic",False,2022-01-10
112,ISEAS - Yusof Ishak Institute,10.1355,ISEAS - Yusof Ishak Institute,False,2022-01-10
113,International Union of Pure and Applied Chemistry (IUPAC),10.1351,International Union of Pure and Applied Chemistry,True,2022-01-10
116,Japanese Society of  Mammalian Ova Research,10.1274,BioOne (Japanese Society of Mammalian Ova Research),False,2022-01-10
118,Japan Society of Equine Science,10.1294,Japan Society of Equine Science,False,2022-01-10
119,Japanese Society of Hypertension,10.1291,Japanese Society of Hypertension,False,2022-01-10
120,Japanese Physical Therapy Association,10.1298,Japanese Physical Therapy Association,True,2022-01-10
121,Japanese Society of Toxicologic Pathology,10.1293,The Japanese Society of Toxicologic Pathology,False,2022-01-10
122,Japanese Society of Veterinary Science,10.1292,Japanese Society of Veterinary Science,False,2022-01-10
123,Japan Radiation Research Society,10.1269,The Japan Radiation Research Society,False,2022-01-10
124,Japan Society of Mechanical Engineers,10.1299,The Japan Society of Mechanical Engineers,False,2022-01-10
125,Japanese Society for Pediatric Endocrinology,10.1297,The Japanese Society for Pediatric Endocrinology,False,2022-01-10
127,S. Karger AG,10.1159,S. Karger AG,True,2022-01-10
130,Thomas Land Publishers,10.1310,"Thomas Land Publishers, Inc.",False,2022-01-10
137,Pleiades Publishing Ltd,10.1134,Pleiades Publishing,True,2022-01-10
138,Maney Publishing,10.1179,Maney Publishing,True,2022-01-10
140,Emerald,10.35241,Emerald - Emerald Open Research,True,2022-01-10
140,Emerald,10.1108,Emerald (MCB UP),True,2022-01-10
140,Emerald,10.5042,Emerald - Pier Professional,True,2022-01-10
141,Metapress,10.1092,Metapress,False,2022-01-10
143,Michigan Mathematical Journal,10.1307,Michigan Mathematical Journal,False,2022-01-10
147,Project Muse,10.1353,Project MUSE,True,2022-01-10
147,Project Muse,10.26597,JHUP Journals Division,True,2022-01-10
149,Notre Dame Journal of Formal Logic,10.1305,Notre Dame Journal of Formal Logic,False,2022-01-10
150,Massachusetts Medical Society,10.1056,New England Journal of Medicine,False,2022-01-10
155,Canadian Science Publishing,10.1139,Canadian Science Publishing,True,2022-01-10
160,Penn State Press (Project Muse),10.1376,Muse - Penn State Press,False,2022-01-10
162,Royal Pharmaceutical Society,10.1211,Royal Pharmaceutical Society,False,2022-01-10
162,Royal Pharmaceutical Society,10.18578,Royal Pharmaceutical Society,False,2022-01-10
163,Pharmaceutical Society of Japan,10.1248,Pharmaceutical Society of Japan,False,2022-01-10
164,Pion Ltd,10.1068,Pion Ltd.,False,2022-01-10
165,Bristol University Press,10.47674,Bristol University Press,True,2022-01-10
165,Bristol University Press,10.1332,Bristol University Press,False,2022-01-10
165,Bristol University Press,10.51952,Bristol University Press,True,2022-01-10
165,Bristol University Press,10.46692,Bristol University Press,True,2022-01-10
170,Royal College of Psychiatrists,10.1192,Royal College of Psychiatrists,True,2022-01-10
171,Royal College of Surgeons of England,10.1308,The Royal College of Surgeons of England,True,2022-01-10
175,The Royal Society,10.1098,The Royal Society,True,2022-01-10
177,Royal Swedish Academy of Sciences,10.1238,Royal Swedish Academy of Sciences,False,2022-01-10
179,SAGE Publications,10.47594,Adam Matthew Digital,True,2022-01-10
179,SAGE Publications,10.47515,SAGE Publications,True,2022-01-10
179,SAGE Publications,10.1622,SagePublications - National Association of School Nurses,True,2022-01-10
179,SAGE Publications,10.1630,Sage Publications-International Institute for Environment and Development,True,2022-01-10
179,SAGE Publications,10.1606,Alliance for Children and Families,False,2022-01-10
179,SAGE Publications,10.1528,Sage Publications- Academy of Traumatology,False,2022-01-10
179,SAGE Publications,10.3818,Justice Research & Statistics Association,False,2022-01-10
179,SAGE Publications,10.3821,Canadian Pharmacists Journal,True,2022-01-10
179,SAGE Publications,10.1243,Research Publishing Services - Professional Engineering Publishing,True,2022-01-10
179,SAGE Publications,10.1258,The Royal Society of Medicine,True,2022-01-10
179,SAGE Publications,10.1106,Sage Publications - Technomic Publishing Company,True,2022-01-10
179,SAGE Publications,10.1191,Arnold Publishers,True,2022-01-10
179,SAGE Publications,10.1177,SAGE Publications,True,2022-01-10
179,SAGE Publications,10.31124,SAGE Publications,True,2022-01-10
179,SAGE Publications,10.1345,Harvey Whitney Books Co.,True,2022-01-10
179,SAGE Publications,10.1354,American College of Veterinary Pathologists,True,2022-01-10
179,SAGE Publications,10.1369,Journal of Histochemistry & Cytochemistry,True,2022-01-10
179,SAGE Publications,10.3317,Sage Publications (JRAAS Limited),True,2022-01-10
179,SAGE Publications,10.5153,Sociological Research Online,False,2022-01-10
179,SAGE Publications,10.5126,"Excellus Health Plan, Inc.",True,2022-01-10
179,SAGE Publications,10.5193,Association for Experimental Education,True,2022-01-10
179,SAGE Publications,10.5034,"Excellus Health Plan, Inc.",True,2022-01-10
179,SAGE Publications,10.5367,IP Publishing,True,2022-01-10
179,SAGE Publications,10.5301,"Wichtig Publishing, SRL",False,2022-01-10
179,SAGE Publications,10.7182,North American Transplant Coordinators Organization,True,2022-01-10
179,SAGE Publications,10.14240,SAGE,False,2022-01-10
179,SAGE Publications,10.2968,Sage Publications - Bulletin of the Atomic Scientists,True,2022-01-10
179,SAGE Publications,10.12679,Alliance for Children and Families,False,2022-01-10
179,SAGE Publications,10.2511,TASH,True,2022-01-10
179,SAGE Publications,10.2182,Canadian Association of Occupational Therapists,True,2022-01-10
179,SAGE Publications,10.2189,"Johnson Graduate School of Management, Cornell University",False,2022-01-10
179,SAGE Publications,10.4137,"Libertas Academica, Ltd.",False,2022-01-10
179,SAGE Publications,10.4135,Sage Publications - Reference E-Books,True,2022-01-10
179,SAGE Publications,10.4219,"Sage Publications (Prufrock Press, Inc.)",True,2022-01-10
179,SAGE Publications,10.15256,"Swiss Medical Press, GmbH",True,2022-01-10
179,SAGE Publications,10.17322,Sage - Corwin,True,2022-01-10
180,Society for Applied Spectroscopy,10.1366,Society for Applied Spectroscopy,False,2022-01-10
181,Schweizerbart,10.1127,Schweizerbart,False,2022-01-10
183,Society for Leukocyte Biology,10.1189,Society for Leukocyte Biology,False,2022-01-10
186,Society of Exploration Geophysicists,10.1190,Society of Exploration Geophysicists,True,2022-01-10
186,Society of Exploration Geophysicists,10.7462,Society of Exploration Geophysicists,True,2022-01-10
186,Society of Exploration Geophysicists,10.4133,Environmental and Engineering Geophysical Society,True,2022-01-10
187,Society of Rheology,10.1122,Society of Rheology,False,2022-01-10
189,SPIE-Intl Soc Optical Eng,10.1117,SPIE - International Society for Optical Engineering,True,2022-01-10
191,Swets & Zeitlinger Publishers,10.1076,Informa UK (Swets & Zeitlinger Publishers),True,2022-01-10
192,Techno-Press,10.1296,,False,2022-01-10
194,Georg Thieme Verlag KG,10.15654,10.15654 (Tierarztl Prax Ausg K Kleintiere Heimtiere),True,2022-01-10
194,Georg Thieme Verlag KG,10.15653,10.15653 (Tierarztl Prax Ausg G Grosstiere Nutztiere),True,2022-01-10
194,Georg Thieme Verlag KG,10.1160,Thieme,True,2022-01-10
194,Georg Thieme Verlag KG,10.3413,Thieme (NuklearMedizin/NuclearMedicine),True,2022-01-10
194,Georg Thieme Verlag KG,10.3414,Thieme (Methods of Information in Medicine),True,2022-01-10
194,Georg Thieme Verlag KG,10.3415,Thieme (Veterinary and Comparative Orthopaedics and Traumatology),True,2022-01-10
194,Georg Thieme Verlag KG,10.1055,Georg Thieme Verlag KG,True,2022-01-10
194,Georg Thieme Verlag KG,10.5482,Thieme (Hamostaseologie),True,2022-01-10
194,Georg Thieme Verlag KG,10.12687,Thieme (Phlebologie),True,2022-01-10
194,Georg Thieme Verlag KG,10.4338,Thieme (Applied Clinical Informatics),True,2022-01-10
194,Georg Thieme Verlag KG,10.15265,Thieme GmbH (IMIA Yearbook of Medical Informatics),True,2022-01-10
200,University of Chicago Press,10.5950,The MRE Foundation,False,2022-01-10
200,University of Chicago Press,10.1086,The University of Chicago Press,False,2022-01-10
200,University of Chicago Press,10.7208,University of Chicago Press,False,2022-01-10
204,Uitgeverij Boom,10.1347,Uitgeverij Boom,False,2022-01-10
208,Universite du Quebec a Chicoutimi,10.1522,Universite du Quebec a Chicoutimi,False,2022-01-10
217,College Literature (Project Muse),10.1372,Muse - College Literature,False,2022-01-10
219,World Scientific Pub Co Pte Ltd,10.1142,World Scientific ,True,2022-01-10
221,American Association for the Advancement of Science (AAAS),10.1126,American Association for the Advancement of Science (AAAS),True,2022-01-10
221,American Association for the Advancement of Science (AAAS),10.34133,AAAS00,True,2022-01-10
222,American Association for Clinical Chemistry (AACC),10.15428,American Association for Clinical Chemistry - CCTC,False,2022-01-10
222,American Association for Clinical Chemistry (AACC),10.1373,American Association for Clinical Chemistry,False,2022-01-10
223,American Association on Intellectual and Developmental Disabilities (AAIDD),10.1352,American Association on Intellectual and Developmental Disabilities,False,2022-01-10
224,American Association of Physicists in Medicine (AAPM),10.37206,American Association of Physicists in Medicine (AAPM),True,2022-01-10
229,American Museum of Natural History (BioOne sponsored),10.1206,BioOne (American Museum of Natural History),False,2022-01-10
230,American Psychiatric Association Publishing,10.1176,American Psychiatric Association Publishing,False,2022-01-10
231,Acoustical Society of America (ASA),10.1121,Acoustical Society of America ,False,2022-01-10
232,American Society for Clinical Investigation,10.1172,American Society for Clinical Investigation,True,2022-01-10
233,American Society of Clinical Oncology (ASCO),10.1200,American Society of Clinical Oncology,True,2022-01-10
233,American Society of Clinical Oncology (ASCO),10.14694,American Society of Clinical Oncology (Educational Books),True,2022-01-10
234,American Society of Hematology,10.1182,American Society of Hematology,True,2022-01-10
235,American Society for Microbiology,10.1128,American Society for Microbiology,True,2022-01-10
237,The Company of Biologists,10.1242,The Company of Biologists,True,2022-01-10
237,The Company of Biologists,10.31981,PreLights (The Company of Biologists),True,2022-01-10
239,BMJ,10.1783,Faculty of Family Planning,True,2022-01-10
239,BMJ,10.1136,BMJ,True,2022-01-10
242,CABI Publishing,10.31220,AgriXiv,True,2022-01-10
242,CABI Publishing,10.1079,CABI Publishing,True,2022-01-10
242,CABI Publishing,10.12774,CABI Publishing - Evidence on Demand,False,2022-01-10
245,Chem-Bio Informatics Society,10.1273,Chem-Bio Informatics Society,False,2022-01-10
246,Cold Spring Harbor Laboratory,10.1261,Cold Spring Harbor Laboratory,True,2022-01-10
246,Cold Spring Harbor Laboratory,10.1101,Cold Spring Harbor Laboratory,True,2022-01-10
246,Cold Spring Harbor Laboratory,10.1110,,False,2022-01-10
246,Cold Spring Harbor Laboratory,10.14224,Cold Spring Harbor Laboratory - CSHL Library & Archives,False,2022-01-10
250,EDP Sciences,10.1051,EDP Sciences,True,2022-01-10
250,EDP Sciences,10.9742,EDP Sciences,True,2022-01-10
250,EDP Sciences,10.2515,EDP Sciences,True,2022-01-10
250,EDP Sciences,10.2516,EDP Sciences,True,2022-01-10
252,Environmental Health Perspectives,10.1289,Environmental Health Perspectives,True,2022-01-10
253,Project Euclid,10.3792,Project Euclid,False,2022-01-10
254,Fibre Diffraction Review,10.1382,Fibre Diffraction Review,False,2022-01-10
257,Geological Society of America,10.1130,Geological Society of America,True,2022-01-10
259,Guttmacher Institute,10.1363,Guttmacher Institute,True,2022-01-10
260,The Haworth Press,10.1300,"Informa UK (Haworth Press, Inc.,)",False,2022-01-10
263,Institute of Electrical and Electronics Engineers (IEEE),10.1109,Institute of Electrical and Electronics Engineers,False,2022-01-10
263,Institute of Electrical and Electronics Engineers (IEEE),10.21629,Journal of Systems Engineering and Electronics,False,2022-01-10
263,Institute of Electrical and Electronics Engineers (IEEE),10.47962,Institute of Electrical and Electronics Engineers (IEEE) StandardDocs,True,2022-01-10
263,Institute of Electrical and Electronics Engineers (IEEE),10.23919,Institute of Electrical and Electronics Engineers,False,2022-01-10
263,Institute of Electrical and Electronics Engineers (IEEE),10.36227,Institute of Electrical and Electronics Engineers (IEEE) preprint,True,2022-01-10
263,Institute of Electrical and Electronics Engineers (IEEE),10.15325,Institute of Electrical and Electronics Engineers - Bell Labs,False,2022-01-10
263,Institute of Electrical and Electronics Engineers (IEEE),10.30941,Electrical Engineering Press Co. Ltd.,True,2022-01-10
264,IFIS Publishing,10.1616,IFIS Publishing,False,2022-01-10
265,Institution of Engineering and Technology (IET),10.1049,Institution of Electrical Engineers,True,2022-01-10
266,IOP Publishing,10.35848,IOP Publishing,True,2022-01-10
266,IOP Publishing,10.1238,Royal Swedish Academy of Sciences,False,2022-01-10
266,IOP Publishing,10.1209,IOP Publishing - Europhysics Letters,False,2022-01-10
266,IOP Publishing,10.1070,Turpion ,False,2022-01-10
266,IOP Publishing,10.1088,IOP Publishing,True,2022-01-10
268,Japanese Society of Applied Entomology & Zoology,10.1303,Japanese Society of Applied Entomology & Zoology,False,2022-01-10
269,"Japan Society for Bioscience, Biotechnology, and Agrochemistry",10.1271,"Japan Society for Bioscience, Biotechnology, and Agrochemistry",False,2022-01-10
270,Journal of Marine Research/Yale,10.1357,Journal of Marine Research/Yale,False,2022-01-10
271,Japanese Society of Breeding,10.1270,Japanese Society of Breeding,False,2022-01-10
272,Japan Science and Technology Agency (JST),10.52926,Japan Science and Technology Agency (JST),True,2022-01-10
272,Japan Science and Technology Agency (JST),10.1241,Japan Science and Technology Agency,False,2022-01-10
276,Ovid Technologies (Wolters Kluwer Health),10.1519,Ovid Technologies (Wolters Kluwer) - National Strength & Conditioning,True,2022-01-10
276,Ovid Technologies (Wolters Kluwer Health),10.11124,Joanna Briggs Institute,True,2022-01-10
