,published_year,type,num_objects,num_dois,num_non_dois,objects_has_abstract,objects_has_affiliations,objects_has_affiliations_countrycode,objects_has_affiliations_ror,objects_has_affiliations_sourceid,objects_has_affiliations_string,objects_has_authors,objects_has_authors_orcid,objects_has_authors_sequence,objects_has_authors_sourceid,objects_has_authors_string,objects_has_citations,objects_has_fields,objects_has_fields_mag,objects_has_references,objects_has_venue,objects_has_venue_issn,objects_has_venue_issnl,objects_has_venue_sourceid,objects_has_venue_string,dois_has_abstract,dois_has_affiliations,dois_has_affiliations_countrycode,dois_has_affiliations_ror,dois_has_affiliations_sourceid,dois_has_affiliations_string,dois_has_authors,dois_has_authors_orcid,dois_has_authors_sequence,dois_has_authors_sourceid,dois_has_authors_string,dois_has_citations,dois_has_fields,dois_has_fields_mag,dois_has_references,dois_has_venue,dois_has_venue_issn,dois_has_venue_issnl,dois_has_venue_sourceid,dois_has_venue_string,non_dois_has_abstract,non_dois_has_affiliations,non_dois_has_affiliations_countrycode,non_dois_has_affiliations_ror,non_dois_has_affiliations_sourceid,non_dois_has_affiliations_string,non_dois_has_authors,non_dois_has_authors_orcid,non_dois_has_authors_sequence,non_dois_has_authors_sourceid,non_dois_has_authors_string,non_dois_has_citations,non_dois_has_fields,non_dois_has_fields_mag,non_dois_has_references,non_dois_has_venue,non_dois_has_venue_issn,non_dois_has_venue_issnl,non_dois_has_venue_sourceid,non_dois_has_venue_string
0,2203.0,journal-article,8,8,0,0,0,0,0,0,0,8,0,8,8,8,0,8,8,0,8,8,8,8,8,0,0,0,0,0,0,8,0,8,8,8,0,8,8,0,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2122.0,journal-article,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2121.0,book,2,2,0,2,0,0,0,0,0,2,0,2,2,2,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2121.0,journal-article,8,8,0,5,0,0,0,0,0,6,0,6,6,6,0,8,8,0,7,7,7,7,8,5,0,0,0,0,0,6,0,6,6,6,0,8,8,0,7,7,7,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2117.0,journal-article,5,5,0,0,0,0,0,0,0,5,0,5,5,5,0,5,5,0,5,5,5,5,5,0,0,0,0,0,0,5,0,5,5,5,0,5,5,0,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2116.0,journal-article,13,13,0,0,0,0,0,0,0,13,0,13,13,13,0,13,13,0,13,13,13,13,13,0,0,0,0,0,0,13,0,13,13,13,0,13,13,0,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2115.0,journal-article,23,23,0,0,0,0,0,0,0,23,0,23,23,23,0,23,23,0,23,23,23,23,23,0,0,0,0,0,0,23,0,23,23,23,0,23,23,0,23,23,23,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2114.0,journal-article,25,25,0,0,0,0,0,0,0,25,0,25,25,25,1,25,25,0,25,25,25,25,25,0,0,0,0,0,0,25,0,25,25,25,1,25,25,0,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2109.0,journal-article,2,2,0,0,0,0,0,0,0,2,0,2,2,2,0,2,2,1,2,2,2,2,2,0,0,0,0,0,0,2,0,2,2,2,0,2,2,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2108.0,journal-article,11,11,0,0,0,0,0,0,0,11,0,11,11,11,0,11,11,0,11,11,11,11,11,0,0,0,0,0,0,11,0,11,11,11,0,11,11,0,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2107.0,journal-article,3,3,0,0,0,0,0,0,0,3,0,3,3,3,0,2,2,0,3,3,3,3,3,0,0,0,0,0,0,3,0,3,3,3,0,2,2,0,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2106.0,journal-article,21,21,0,0,0,0,0,0,0,12,0,12,12,12,1,21,21,0,21,21,21,21,21,0,0,0,0,0,0,12,0,12,12,12,1,21,21,0,21,21,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2105.0,book-chapter,7,7,0,0,0,0,0,0,0,4,0,4,4,4,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,4,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2105.0,journal-article,2,2,0,0,0,0,0,0,0,2,0,2,2,2,0,2,2,0,2,2,2,2,2,0,0,0,0,0,0,2,0,2,2,2,0,2,2,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2104.0,journal-article,4,4,0,0,0,0,0,0,0,3,0,4,4,3,0,4,4,0,4,4,4,4,4,0,0,0,0,0,0,3,0,4,4,3,0,4,4,0,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2103.0,journal-article,10,10,0,0,0,0,0,0,0,9,0,9,9,9,0,10,10,0,10,10,10,10,10,0,0,0,0,0,0,9,0,9,9,9,0,10,10,0,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2101.0,book-chapter,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
